customer_id,plan,region,signup_month,monthly_spend,sessions,converted,churned
C001,free,North,2025-01,0.00,8,1,0
C002,free,South,2025-02,0.00,15,0,0
C003,free,East,2025-03,0.00,22,1,0
C004,free,West,2025-04,0.00,29,0,0
C005,free,North,2025-05,0.00,36,1,1
C006,free,South,2025-06,0.00,43,0,0
C007,free,East,2025-01,0.00,50,1,0
C008,free,West,2025-02,0.00,57,0,0
C009,free,North,2025-03,0.00,4,1,0
C010,free,South,2025-04,0.00,11,0,0
C011,free,East,2025-05,0.00,18,1,0
C012,free,West,2025-06,0.00,25,0,1
C013,free,North,2025-01,0.00,32,1,0
C014,free,South,2025-02,0.00,39,0,0
C015,free,East,2025-03,0.00,46,1,0
C016,free,West,2025-04,0.00,53,0,0
C017,free,North,2025-05,0.00,60,1,0
C018,free,South,2025-06,0.00,7,0,0
C019,starter,East,2025-01,60.00,14,1,0
C020,starter,West,2025-02,67.00,21,1,1
C021,starter,North,2025-03,74.00,28,0,0
C022,starter,South,2025-04,30.00,35,1,0
C023,starter,East,2025-05,37.00,42,1,0
C024,starter,West,2025-06,44.00,49,1,0
C025,starter,North,2025-01,51.00,56,1,0
C026,starter,South,2025-02,58.00,3,1,0
C027,starter,East,2025-03,65.00,10,1,1
C028,starter,West,2025-04,72.00,17,0,0
C029,starter,North,2025-05,79.00,24,1,0
C030,starter,South,2025-06,35.00,31,1,0
C031,starter,East,2025-01,42.00,38,1,0
C032,starter,West,2025-02,49.00,45,1,0
C033,starter,North,2025-03,56.00,52,1,1
C034,starter,South,2025-04,63.00,59,1,0
C035,starter,East,2025-05,70.00,6,0,0
C036,starter,West,2025-06,77.00,13,1,0
C037,growth,North,2025-01,204.00,20,1,0
C038,growth,South,2025-02,215.00,27,1,0
C039,growth,East,2025-03,226.00,34,1,0
C040,growth,West,2025-04,237.00,41,1,0
C041,growth,North,2025-05,248.00,48,1,1
C042,scale,West,2025-06,8940.00,3,0,0
C043,growth,East,2025-01,119.00,2,1,0
C044,growth,West,2025-02,130.00,9,1,0
C045,growth,North,2025-03,141.00,16,1,0
C046,growth,South,2025-04,152.00,23,1,0
C047,growth,East,2025-05,163.00,30,1,0
C048,growth,West,2025-06,174.00,37,1,0
C049,growth,North,2025-01,185.00,44,0,0
C050,growth,South,2025-02,196.00,51,1,1
C051,growth,East,2025-03,207.00,58,1,0
C052,growth,West,2025-04,218.00,5,1,0
C053,scale,North,2025-05,587.00,12,1,0
C054,scale,South,2025-06,600.00,19,1,0
C055,scale,East,2025-01,613.00,26,1,0
C056,scale,West,2025-02,626.00,33,0,0
C057,scale,North,2025-03,639.00,40,1,0
C058,scale,South,2025-04,652.00,47,1,1
C059,scale,East,2025-05,665.00,54,1,0
C060,scale,West,2025-06,678.00,1,1,0
